Faculty;Department;Degree;Transcript Grade(4/4);Transcript Grade(100/100);Transcript Grade Contribution;Total Points;Transcript Notu (4/4);Transcript Notu (100/100);Erasmus application CGPA with grades behind SE/UE;UE SE Sayý;UECGPA;ENG 101;ENG 102;Language Points;Transcript Points;Total Points;Duration Preferred;Preferred University #1;Preferred University #2;Preferred University #3;Preferred University #4;Preferred University #5;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.98;99.530;49.333;99.333;Mar.98;99.530;3,98;;3,98;A;A;50;49,33;99,333;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;"ESIEA (Ecole Superieure d&#039;Informatique, Electronique et Automatique)";ESIEE Paris;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.97;99.300;49.000;99.000;Mar.97;99.300;3,97;;3,97;A;A;50;49;99;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Saarland Üniversitesi;AGH University of Science and Technology;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.92;98.130;47.333;97.333;Mar.92;98.130;3,92;;3,92;A;A;50;47,33;97,333;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;Kingston University;Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.81;95.560;43.666;93.666;Mar.81;95.560;3,81;;3,81;A;A;50;43,67;93,667;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Saarland Üniversitesi;ESIEE Paris;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.79;95.100;43.000;93.000;Mar.79;95.100;3,79;;3,79;A;A;50;43;93;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.71;93.230;40.333;90.333;Mar.71;93.230;3,71;;3,71;A;A;50;40,33;90,333;Bahar Dönemi;Saarland Üniversitesi;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";AGH University of Science and Technology;École Polytechnique Fédérale (EPF);;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.72;93.460;40.667;87.667;Mar.72;93.460;3,72;;3,72;A-;A;47;40,67;87,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;AGH University of Science and Technology;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.72;93.460;40.667;87.667;Mar.72;93.460;3,72;;3,72;A-;A;47;40,67;87,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.60;90.660;36.667;83.667;Mar.60;90.660;3,6;;3,6;A-;A;47;36,67;83,667;Bahar Dönemi;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);Saarland Üniversitesi;AGH University of Science and Technology;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.58;90.200;36.000;83.000;Mar.58;90.200;3,58;;3,58;A-;A;47;36;83;Güz Dönemi;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";Roskilde Universitesi;École Polytechnique Fédérale (EPF);Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.55;89.500;35.000;82.000;Mar.55;89.500;3,55;;3,55;A-;A;47;35;82;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;AGH University of Science and Technology;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.55;89.500;35.000;82.000;Mar.55;89.500;3,55;;3,55;A;A-;47;35;82;Bahar Dönemi;Technical University of Berlin;École Polytechnique Fédérale (EPF);Saarland Üniversitesi;TU Universitaet Dortmund;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.45;87.160;31.667;81.667;Mar.45;87.160;3,45;;3,45;A;A;50;31,67;81,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);ESIEE Paris;Technical University of Berlin;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.52;88.800;34.000;78.000;Mar.52;88.800;3,52;;3,52;A-;A-;44;34;78;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Kingston University;AGH University of Science and Technology;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.68;92.530;39.333;77.333;Mar.68;92.530;3,68;;3,68;B+;B+;38;39,33;77,333;Güz Dönemi;Saarland Üniversitesi;Vrije Üniversitesi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.59;90.430;36.333;77.333;Mar.69;92.760;3,59;1;3,59;B+;A-;41;36,33;77,333;Bahar Dönemi;Technical University of Berlin;Vrije Üniversitesi;TU Universitaet Dortmund;Saarland Üniversitesi;École Polytechnique Fédérale (EPF);;;
